id,project_name,experiment_description,epoch,start_time,duration(s),power_consumption(kWh),CO2_emissions(kg),CPU_name,GPU_name,OS,region/country,cost
5b67b453-81c6-47b4-afd9-104a356052d0,Consumtion_of_E_risk_context.py,Calculating Contextual Risk,,2026-02-27 21:32:01,18.424420595169067,3.2404156242202072e-06,2.1882526710359059e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
9a74bc84-bf55-4e75-9d3d-a9302f664d87,Consumtion_of_E_templeability.py,We Calculate...,,2026-02-27 21:34:06,17.362617015838623,1.3360219182161707e-06,9.022156013713801e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
8ae47df2-42f0-4e54-97ca-499fdfa5b155,Consumtion_of_generate_risk_context_report.py,We Calculate...,,2026-02-27 21:35:48,17.74276065826416,1.0702386707281144e-06,7.227321743426956e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
394f4cd8-56f2-4572-822e-d92824ff55ca,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 21:36:35,18.32508039474488,1.117911996480894e-06,7.54925971223548e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
708626dc-0cce-415d-8146-31c8432e10e3,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 22:12:50,16.14419412612915,1.1905121582131568e-06,8.039528604413448e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
dc5a2115-52ff-46f6-9185-a874e689bed9,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 22:17:11,16.01585841178894,1.3160253624352556e-06,8.887119272525283e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
a2563004-50be-4b86-89fd-0609941692b0,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 22:22:58,13.350968599319458,1.3296413048228352e-06,8.979067731468607e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
1b2e18de-fcdc-4df6-80b1-205e2be082da,Consumtion_of_biomarker_brat_annotator.py,We Calculate...,,2026-02-27 22:24:04,17.413957118988037,1.411733932730747e-06,9.533439247730737e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
1772227834.476416,Rules,Estrogen_receptor,8.752293058995139e-07,4.3761465294975695e-05,0.0,,,,,,,
1772227834.485911,Transformer,Ki67,8.152860710509452e-05,0.004076430355254726,0.0,,,,,,,
1772227834.4928265,Rules,Estrogen_receptor,1.0514024859270285e-06,5.257012429635142e-05,0.0,,,,,,,
1772227834.4928265,Transformer,Ki67,0.0001118874403594,0.005594372017974201,0.0,,,,,,,
1772227834.4928265,Rules,Estrogen_receptor,1.0432786965336064e-06,5.216393482668032e-05,0.0,,,,,,,
1772227834.4928265,Transformer,Ki67,0.000107997836755,0.005399891837751258,0.0,,,,,,,
0861a8ba-cee3-4b60-b1b8-0235e871351f,Consumtion_of_E_templeability.py,We Calculate...,,2026-02-27 22:30:55,14.257646560668944,1.5844248188884715e-06,1.0699620801953848e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
44726b4f-dd63-469d-91b1-49afce3633c5,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 22:31:41,16.581923961639404,1.4954622360855865e-06,1.0098856480285965e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
d677fda5-3c00-4f06-b81e-0e6e3692967f,Consumtion_of_E_fesability_NER.py,Calcul Faisabilite NER,,2026-02-27 22:36:56,14.308287382125854,1.918602893693446e-06,1.2956325341111842e-07,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0",NVIDIA GeForce GTX 1650 1 device(s),Windows,FR/Rhône-Alpes,0.0
ff8476a5-b771-4fa9-a489-0a21dab629a6,Consumtion_of_E_creation_arbre_decision.py,Building Decision Tree Config,,2026-02-27 22:39:35,14.797191381454468,1.4468588126589528e-06,9.770637561885909e-08,"Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz/1 device(s), TDP:45.0", 1 device(s),Windows,FR/Rhône-Alpes,0.0
1772228612.5373943,Rules,Estrogen_receptor,1.033829779457744e-06,5.1691488972887195e-05,0.0,,,,,,,
1772228612.5478182,Transformer,Ki67,0.0001045637402333,0.00522818701166888,0.0,,,,,,,
1772228612.5565066,Rules,Estrogen_receptor,9.946597698158025e-07,4.9732988490790114e-05,0.0,,,,,,,
1772228612.5590594,Transformer,Ki67,9.94326619709248e-05,0.00497163309854624,0.0,,,,,,,
1772228612.5590594,Rules,Estrogen_receptor,9.595847365827218e-07,4.797923682913609e-05,0.0,,,,,,,
1772228612.5590594,Transformer,Ki67,9.491310182402038e-05,0.0047456550912010195,0.0,,,,,,,
1772228613.1256177,Rules,Gene,1.0996477673549756e-06,5.498238836774878e-05,0.0,,,,,,,
1772228613.1332955,ML_CRF,Tumor,0.0005,0.25,4.918336868286133,,,,,,,
1772228613.1332955,Rules,Gene,1.1986182675543362e-06,5.993091337771681e-05,0.0,,,,,,,
1772228613.1430674,Rules,Gene,0.001,0.5,100.0,,,,,,,
1772228613.1430674,ML,Gene,0.002,1.0,200.0,,,,,,,
1772228613.1664367,Rules,HER2,8.357007094697379e-07,4.1785035473486894e-05,0.0,,,,,,,
